epoch,loss,accuracy,val_loss,val_accuracy
0,2.291729211807251,0.28125,1.3862943649291992,0.1875
1,1.3862946033477783,0.265625,1.3862943649291992,0.1875
2,1.3862946033477783,0.265625,1.3862943649291992,0.1875
3,1.3862946033477783,0.28125,1.3862943649291992,0.1875
