epoch,loss,accuracy,val_loss,val_accuracy
0,1.4308724403381348,0.4625000059604645,0.8524370193481445,0.4000000059604645
1,0.7077581882476807,0.5249999761581421,0.6810489296913147,0.699999988079071
2,0.6892242431640625,0.5375000238418579,0.6721477508544922,0.6000000238418579
3,0.6787601113319397,0.637499988079071,0.6816455721855164,0.4000000059604645
4,0.6491294503211975,0.637499988079071,0.6079961061477661,1.0
5,0.5865373015403748,0.9375,0.5498608350753784,0.949999988079071
6,0.46532997488975525,0.887499988079071,0.3087809383869171,0.949999988079071
7,0.39792609214782715,0.7875000238418579,0.21897323429584503,0.949999988079071
8,0.292243629693985,0.887499988079071,0.1242411881685257,1.0
9,0.1468016505241394,0.987500011920929,0.030973127111792564,1.0
10,0.0983603373169899,0.9750000238418579,0.00697504635900259,1.0
11,0.04550309106707573,1.0,0.0021884976886212826,1.0
12,0.020745528861880302,1.0,0.005727675743401051,1.0
13,0.0067473952658474445,1.0,0.00020322483032941818,1.0
14,0.005123810842633247,1.0,6.553193816216663e-05,1.0
15,0.00165452528744936,1.0,4.208520840620622e-05,1.0
16,0.0007240489940159023,1.0,4.269294731784612e-05,1.0
17,0.00035455962643027306,1.0,4.443909347173758e-05,1.0
18,0.00024345377460122108,1.0,4.352712494437583e-05,1.0
